DateTime,Tweets,clean_tweet,polarity,subjectivity,sentiment_score
2023-05-31 08:37:28,"b""RT @TimesNow: Tata's IT giant TCS warns of pay cut, leave deduction for those following WFH | Details\n\n#TCS #Tech #Jobs #IT \n\nhttps://t.co/\xe2\x80\xa6""",Tata giant warns leave deduction those following Details Tech Jobs nhttps,0.0,0.55,0.0
2023-05-31 08:24:15,b'RT @livemint: Tata Consultancy Services (#TCS) had asked its employees to attend at least 12 days of office in a month. \n\nNow the software\xe2\x80\xa6',Tata Consultancy Services asked employees attend least days office month nNow software,-0.3,0.4,-0.12
2023-05-31 08:04:20,"b'Kavitha Srinivasulu, Global Head-Cyber Risk &amp; Data Privacy (BFSI R&amp;C) at TCS, highlights best practices to incorpor\xe2\x80\xa6 https://t.co/BOYmVWZNjW'",Kavitha Srinivasulu Global Head Cyber Risk Data Privacy BFSI highlights best practices incorpor https BOYmVWZNjW,0.5,0.15,0.075
2023-05-31 08:00:28,"b""RT @TimesNow: Tata's IT giant TCS warns of pay cut, leave deduction for those following WFH | Details\n\n#TCS #Tech #Jobs #IT \n\nhttps://t.co/\xe2\x80\xa6""",Tata giant warns leave deduction those following Details Tech Jobs nhttps,0.0,0.55,0.0
2023-05-31 08:00:02,"b""Tata's IT giant TCS warns of pay cut, leave deduction for those following WFH | Details\n\n#TCS #Tech #Jobs #IT \n\nhttps://t.co/nMROTaXeJz""",Tata giant warns leave deduction those following Details Tech Jobs nhttps nMROTaXeJz,0.0,0.55,0.0
2023-05-31 07:44:56,"b"".@TCS becomes most valuable brand amongst India's top 50 brands\n\nThe unveiling event took place in Mumbai, with Raj\xe2\x80\xa6 https://t.co/nTXJhUDKXX""",becomes most valuable brand amongst India brands nThe unveiling event took place Mumbai with https nTXJhUDKXX,0.5,0.5,0.25
2023-05-31 07:40:04,b'Tchinical Analisys Update #31May2023 09:37\nStock : #TCS\n1 Day RSI :66.72\n1 Day RSI Comment :Strong with Positive Ba\xe2\x80\xa6 https://t.co/JhEk4DRDwX',Tchinical Analisys Update nStock Comment Strong with Positive https JhEk DRDwX,0.33030303030303027,0.6393939393939394,0.21119375573921026
2023-05-31 06:57:05,b'Tata Consultancy Services (#TCS) had asked its employees to attend at least 12 days of office in a month. \n\nNow the\xe2\x80\xa6 https://t.co/f6tvKCTZN2',Tata Consultancy Services asked employees attend least days office month nNow https tvKCTZN,-0.3,0.4,-0.12
2023-05-31 06:56:05,"b'RT @karthickkumar17: 5. Using this strategy, both scalping &amp; positional trades can be done with peace of mind \n\n6. This strategy can be use\xe2\x80\xa6'",Using this strategy both scalping positional trades done with peace mind This strategy,0.0,0.0,0.0
2023-05-31 06:55:56,b'Central Government amended FEMA with 20% TCS imposed? What is the difference between TDS and TCS?\xe2\x80\xa6 https://t.co/EHzzend3kc',Central Government amended FEMA with imposed What difference between https EHzzend,0.0,0.25,0.0
